0/29, ---; 1;  0.433; 1; 1
1/29; (HU, C1); 2;  0.163; 1; 0, 109203.68 
2/29; (HU, C2); 2;  0.154; 1; 0, 109203.68 
3/29; (HU, C3); 2;  0.141; 1; 0, 109203.68 
4/29; (HU, C4); 2;  0.292; 1; 0, 109203.68 
5/29; (H1, C4); 2;  0.080; 1; 0, 109203.68 
6/29; (H3, CU); 2;  0.207; 1; 0, 109203.68 
7/29; (H2, C4); 2;  1.037; 1; 1, 109203.68 
8/29; (H2, CU); 4;  6.061; 2; 1, 109083.73 
9/29; (H2, C1); 6;  0.477; 3; 0, 109083.73 
10/29; (H1, C3); 6;  0.456; 3; 0, 109083.73 
11/29; (H3, C4); 6;  0.330; 3; 0, 109083.73 
12/29; (H3, C2); 6;  0.455; 3; 0, 109083.73 
13/29; (H4, C1); 6;  0.448; 3; 0, 109083.73 
14/29; (H1, C5); 6;  0.227; 3; 0, 109083.73 
15/29; (H2, C2); 6;  4.661; 3; 1, 109078.45 
16/29; (H5, C1); 8;  0.389; 4; 0, 109078.45 
17/29; (H1, C2); 8;  0.365; 4; 0, 109078.45 
18/29; (H4, C2); 8;  0.447; 4; 0, 109078.45 
19/29; (H4, C3); 8;  0.370; 4; 0, 109078.45 
20/29; (H5, C2); 8;  0.208; 4; 0, 109078.45 
21/29; (H5, C3); 8;  0.458; 4; 0, 109078.45 
22/29; (H4, CU); 8;  0.003; 0; 0, 109078.45 
23/29; (H1, C1); 8;  0.248; 4; 0, 109078.45 
24/29; (H3, C3); 8;  0.223; 4; 0, 109078.45 
25/29; (H2, C3); 8;  0.309; 3; 0, 109078.45 
26/29; (H5, CU); 8;  0.022; 0; 0, 109078.45 
27/29; (H1, CU); 8;  0.632; 4; 0, 109078.45 
28/29; (HU, C5); 8;  0.272; 4; 0, 109078.45 
29/29; (H3, C1); 8;  0.001; 0; 0, 109078.45 
