0/29, ---; 1;  0.038; 1; 1
1/29; (HU, C1); 2;  0.080; 1; 0, 109203.68 
2/29; (HU, C2); 2;  0.105; 1; 0, 109203.68 
3/29; (HU, C3); 2;  0.174; 1; 0, 109203.68 
4/29; (HU, C4); 2;  0.165; 1; 0, 109203.68 
5/29; (H1, C4); 2;  0.088; 1; 0, 109203.68 
6/29; (H3, CU); 2;  0.133; 1; 0, 109203.68 
7/29; (H2, C4); 2;  0.265; 1; 1, 109203.68 
8/29; (H2, CU); 4;  0.544; 2; 1, 109084.15 
9/29; (H2, C1); 6;  0.606; 3; 0, 109084.15 
10/29; (H1, C3); 6;  0.348; 3; 0, 109084.15 
11/29; (H3, C4); 6;  0.488; 3; 0, 109084.15 
12/29; (H3, C2); 6;  0.478; 3; 0, 109084.15 
13/29; (H4, C1); 6;  0.474; 3; 0, 109084.15 
14/29; (H1, C5); 6;  0.220; 3; 0, 109084.15 
15/29; (H2, C2); 6;  0.421; 3; 1, 109078.45 
16/29; (H5, C1); 8;  0.572; 4; 0, 109078.45 
17/29; (H1, C2); 8;  0.654; 4; 0, 109078.45 
18/29; (H4, C2); 8;  0.255; 4; 0, 109078.45 
19/29; (H4, C3); 8;  0.310; 4; 0, 109078.45 
20/29; (H5, C2); 8;  0.512; 4; 0, 109078.45 
21/29; (H5, C3); 8;  0.287; 4; 0, 109078.45 
22/29; (H4, CU); 8;  0.001; 0; 0, 109078.45 
23/29; (H1, C1); 8;  0.872; 4; 0, 109078.45 
24/29; (H3, C3); 8;  0.392; 4; 0, 109078.45 
25/29; (H2, C3); 8;  0.255; 3; 0, 109078.45 
26/29; (H5, CU); 8;  0.001; 0; 0, 109078.45 
27/29; (H1, CU); 8;  0.551; 4; 0, 109078.45 
28/29; (HU, C5); 8;  0.548; 4; 0, 109078.45 
29/29; (H3, C1); 8;  0.001; 0; 0, 109078.45 
